Company code,Fiscal year,Document number,Debit cost center,Credit cost center,Debit profit center,Credit profit center,Debit account AP clearing,Credit account AP clearing,Debit account AR clearing,Credit account AR clearing,Debit account types,Credit account types,Debit accounts,Credit accounts,Debit GL account text combine,Credit GL account text combine,Debit GL account text,Credit GL account text,Debit GL account is bank,Credit GL account is bank,Debit P&L,Credit P&L,Debit customer name,Credit customer name,Debit supplier name,Credit supplier name,Debit asset,Debit asset description,Credit asset,Credit asset description,Debit supplier is customer,Debit supplier is customer name,Credit supplier is customer,Credit supplier is customer name,Debit customer is supplier,Debit customer is supplier name,Credit customer is supplier,Credit customer is supplier name,Debit GL account found in CSKB,Credit GL account found in CSKB,Company code description,Fiscal period,Document type,Document type description,Posting date,Document date,Input date,Transaction code,Transaction code text,Ref transaction,Local currency,User name,User name text,Entry type,Debit account type description,Credit account type description,Debit supplier,Credit supplier,Debit supplier group,Credit supplier group,Debit supplier group text,Credit supplier group text,Debit customer,Credit customer,Debit customer group,Credit customer group,Debit customer group description,Credit customer group description,Debit tango account,Credit tango account,Debit document amount,Debit amount (Custom),Credit document amount,Credit amount (Custom)
5385,2021,100000000,:Not assigned,:Not assigned_:Not assigned,0000030527:LEFT BANK PICTURES,0000030527:LEFT BANK PICTURES_0000030527:LEFT BANK PICTURES,,_,,_,S,S_S,160825,0000170825_0000700100,0000160825 : Comptr HW NonRecon,0000170825 : Accum Depr HW NR_0000700100 : Oth Inc,Comptr HW NonRecon,Accum Depr HW NR_Oth Inc,,_,,_Y,,_,,_,|,,|_|,_,_,,_,_,,,_,_,,_,Left Bank Pictures Ltd,7,AA,Asset Posting,30-09-20,30-09-20,15-10-20,AB01,Create asset transactions,AMBU,GBP,DBARLOW,,Regular,G/L accounts,G/L accounts_G/L accounts,,_,_,_,_,_,,_,_,_,_,_,155800,156800_701000,17395.83,22376.36,-17395.83,-22376.36
5385,2021,100000001,:Not assigned,:Not assigned_:Not assigned,0000030527:LEFT BANK PICTURES,0000030527:LEFT BANK PICTURES_0000030527:LEFT BANK PICTURES,,_,,_,S,S_S,160825,0000170825_0000700100,0000160825 : Comptr HW NonRecon,0000170825 : Accum Depr HW NR_0000700100 : Oth Inc,Comptr HW NonRecon,Accum Depr HW NR_Oth Inc,,_,,_Y,,_,,_,|,,|_|,_,_,,_,_,,,_,_,,_,Left Bank Pictures Ltd,7,AA,Asset Posting,30-09-20,30-09-20,15-10-20,AB01,Create asset transactions,AMBU,GBP,DBARLOW,,Regular,G/L accounts,G/L accounts_G/L accounts,,_,_,_,_,_,,_,_,_,_,_,155800,156800_701000,14398.52,18520.9,-14398.52,-18520.9
5385,2021,100000001,:Not assigned,:Not assigned_:Not assigned,0000030527:LEFT BANK PICTURES,0000030527:LEFT BANK PICTURES_0000030527:LEFT BANK PICTURES,,_,,_,S,S_S,160825,0000170825_0000700100,0000160825 : Comptr HW NonRecon,0000170825 : Accum Depr HW NR_0000700100 : Oth Inc,Comptr HW NonRecon,Accum Depr HW NR_Oth Inc,,_,,_Y,,_,,_,|,,|_|,_,_,,_,_,,,_,_,,_,Left Bank Pictures Ltd,7,AA,Asset Posting,30-09-20,30-09-20,15-10-20,AB01,Create asset transactions,AMBU,GBP,DBARLOW,,Regular,G/L accounts,G/L accounts_G/L accounts,,_,_,_,_,_,,_,_,_,_,_,155800,156800_701000,14398.52,18520.9,-14398.52,-18520.9
5385,2021,100000002,:Not assigned,:Not assigned,0000030527:LEFT BANK PICTURES,0000030527:LEFT BANK PICTURES,,,,,S,S,160825,170825,0000160825 : Comptr HW NonRecon,0000170825 : Accum Depr HW NR,Comptr HW NonRecon,Accum Depr HW NR,,,,,,_,,,|,,|,,_,,,,,,,,,,Left Bank Pictures Ltd,7,AA,Asset Posting,30-09-20,30-09-20,15-10-20,AB01,Create asset transactions,AMBU,GBP,DBARLOW,,Regular,G/L accounts,G/L accounts,,,_,_,_,_,,,_,_,_,_,155800,156800,126463.24,162670.42,-126463.24,-162670.42
5385,2021,100000003,:Not assigned,:Not assigned_:Not assigned,0000030527:LEFT BANK PICTURES,0000030527:LEFT BANK PICTURES_0000030527:LEFT BANK PICTURES,,_,,_,S,S_S,160325,0000700100_0000170325,0000160325 : Lshld Impr NonRecon,0000700100 : Oth Inc_0000170325 : Accum Dep Lshld NR,Lshld Impr NonRecon,Oth Inc_Accum Dep Lshld NR,,_,,Y_,,_,,_,|,,|_|,_,_,,_,_,,,_,_,,_,Left Bank Pictures Ltd,7,AA,Asset Posting,30-09-20,30-09-20,15-10-20,AB01,Create asset transactions,AMBU,GBP,DBARLOW,,Regular,G/L accounts,G/L accounts_G/L accounts,,_,_,_,_,_,,_,_,_,_,_,155400,701000_156400,13749.53,17686.1,-13749.53,-17686.1
5385,2021,100000004,:Not assigned,:Not assigned_:Not assigned,0000030527:LEFT BANK PICTURES,0000030527:LEFT BANK PICTURES_0000030527:LEFT BANK PICTURES,,_,,_,S,S_S,160325,0000170325_0000700100,0000160325 : Lshld Impr NonRecon,0000170325 : Accum Dep Lshld NR_0000700100 : Oth Inc,Lshld Impr NonRecon,Accum Dep Lshld NR_Oth Inc,,_,,_Y,,_,,_,|,,|_|,_,_,,_,_,,,_,_,,_,Left Bank Pictures Ltd,7,AA,Asset Posting,30-09-20,30-09-20,15-10-20,AB01,Create asset transactions,AMBU,GBP,DBARLOW,,Regular,G/L accounts,G/L accounts_G/L accounts,,_,_,_,_,_,,_,_,_,_,_,155400,156400_701000,91903.81,118216.42,-91903.81,-118216.42
5385,2021,100000005,:Not assigned,:Not assigned_:Not assigned,0000030527:LEFT BANK PICTURES,0000030527:LEFT BANK PICTURES_0000030527:LEFT BANK PICTURES,,_,,_,S,S_S,160325,0000700100_0000170325,0000160325 : Lshld Impr NonRecon,0000700100 : Oth Inc_0000170325 : Accum Dep Lshld NR,Lshld Impr NonRecon,Oth Inc_Accum Dep Lshld NR,,_,,Y_,,_,,_,|,,|_|,_,_,,_,_,,,_,_,,_,Left Bank Pictures Ltd,7,AA,Asset Posting,30-09-20,30-09-20,15-10-20,AB01,Create asset transactions,AMBU,GBP,DBARLOW,,Regular,G/L accounts,G/L accounts_G/L accounts,,_,_,_,_,_,,_,_,_,_,_,155400,701000_156400,11320.88,14562.12,-11320.88,-14562.12
5385,2021,100000006,:Not assigned,:Not assigned_:Not assigned,0000030527:LEFT BANK PICTURES,0000030527:LEFT BANK PICTURES_0000030527:LEFT BANK PICTURES,,_,,_,S,S_S,160325,0000700100_0000170325,0000160325 : Lshld Impr NonRecon,0000700100 : Oth Inc_0000170325 : Accum Dep Lshld NR,Lshld Impr NonRecon,Oth Inc_Accum Dep Lshld NR,,_,,Y_,,_,,_,|,,|_|,_,_,,_,_,,,_,_,,_,Left Bank Pictures Ltd,7,AA,Asset Posting,30-09-20,30-09-20,15-10-20,AB01,Create asset transactions,AMBU,GBP,DBARLOW,,Regular,G/L accounts,G/L accounts_G/L accounts,,_,_,_,_,_,,_,_,_,_,_,155400,701000_156400,1627.45,2093.4,-1627.45,-2093.4
5385,2021,100000007,:Not assigned,:Not assigned_:Not assigned,0000030527:LEFT BANK PICTURES,0000030527:LEFT BANK PICTURES_0000030527:LEFT BANK PICTURES,,_,,_,S,S_S,160425,0000170425_0000700100,0000160425 : Furn & Fix NonRecon,0000170425 : Accum Dep Fur&FixNR_0000700100 : Oth Inc,Furn & Fix NonRecon,Accum Dep Fur&FixNR_Oth Inc,,_,,_Y,,_,,_,|,,|_|,_,_,,_,_,,,_,_,,_,Left Bank Pictures Ltd,7,AA,Asset Posting,30-09-20,30-09-20,19-10-20,AB01,Create asset transactions,AMBU,GBP,DBARLOW,,Regular,G/L accounts,G/L accounts_G/L accounts,,_,_,_,_,_,,_,_,_,_,_,155600,156600_701000,6066.77,7803.72,-6066.77,-7803.72
5385,2021,100000008,:Not assigned,:Not assigned_:Not assigned,0000030527:LEFT BANK PICTURES,0000030527:LEFT BANK PICTURES_0000030527:LEFT BANK PICTURES,,_,,_,S,S_S,160425,0000170425_0000700100,0000160425 : Furn & Fix NonRecon,0000170425 : Accum Dep Fur&FixNR_0000700100 : Oth Inc,Furn & Fix NonRecon,Accum Dep Fur&FixNR_Oth Inc,,_,,_Y,,_,,_,|,,|_|,_,_,,_,_,,,_,_,,_,Left Bank Pictures Ltd,7,AA,Asset Posting,30-09-20,30-09-20,19-10-20,AB01,Create asset transactions,AMBU,GBP,DBARLOW,,Regular,G/L accounts,G/L accounts_G/L accounts,,_,_,_,_,_,,_,_,_,_,_,155600,156600_701000,2040.0,2624.06,-2040.0,-2624.06
5385,2021,100000009,:Not assigned,:Not assigned_:Not assigned,0000030527:LEFT BANK PICTURES,0000030527:LEFT BANK PICTURES_0000030527:LEFT BANK PICTURES,,_,,_,S,S_S,160425,0000170425_0000700100,0000160425 : Furn & Fix NonRecon,0000170425 : Accum Dep Fur&FixNR_0000700100 : Oth Inc,Furn & Fix NonRecon,Accum Dep Fur&FixNR_Oth Inc,,_,,_Y,,_,,_,|,,|_|,_,_,,_,_,,,_,_,,_,Left Bank Pictures Ltd,7,AA,Asset Posting,30-09-20,30-09-20,19-10-20,AB01,Create asset transactions,AMBU,GBP,DBARLOW,,Regular,G/L accounts,G/L accounts_G/L accounts,,_,_,_,_,_,,_,_,_,_,_,155600,156600_701000,651.67,838.25,-651.67,-838.25
5385,2021,100000010,:Not assigned,:Not assigned_:Not assigned,0000030527:LEFT BANK PICTURES,0000030527:LEFT BANK PICTURES_0000030527:LEFT BANK PICTURES,,_,,_,S,S_S,160425,0000170425_0000700100,0000160425 : Furn & Fix NonRecon,0000170425 : Accum Dep Fur&FixNR_0000700100 : Oth Inc,Furn & Fix NonRecon,Accum Dep Fur&FixNR_Oth Inc,,_,,_Y,,_,,_,|,,|_|,_,_,,_,_,,,_,_,,_,Left Bank Pictures Ltd,7,AA,Asset Posting,30-09-20,30-09-20,19-10-20,AB01,Create asset transactions,AMBU,GBP,DBARLOW,,Regular,G/L accounts,G/L accounts_G/L accounts,,_,_,_,_,_,,_,_,_,_,_,155600,156600_701000,4373.33,5625.44,-4373.33,-5625.44
5385,2021,100000011,:Not assigned,:Not assigned_:Not assigned,0000030527:LEFT BANK PICTURES,0000030527:LEFT BANK PICTURES_0000030527:LEFT BANK PICTURES,,_,,_,S,S_S,160425,0000170425_0000700100,0000160425 : Furn & Fix NonRecon,0000170425 : Accum Dep Fur&FixNR_0000700100 : Oth Inc,Furn & Fix NonRecon,Accum Dep Fur&FixNR_Oth Inc,,_,,_Y,,_,,_,|,,|_|,_,_,,_,_,,,_,_,,_,Left Bank Pictures Ltd,7,AA,Asset Posting,30-09-20,30-09-20,19-10-20,AB01,Create asset transactions,AMBU,GBP,DBARLOW,,Regular,G/L accounts,G/L accounts_G/L accounts,,_,_,_,_,_,,_,_,_,_,_,155600,156600_701000,1200.0,1543.57,-1200.0,-1543.57
