,Contract Name,KPI Categories,Status,Section,Value,Detail,Rate,Correct clause found
0,Marketing contract template by Teamwork (1).docx,Contract Date,Yes,PARTIES,01 January 2024,"This Contract is made and entered into on 1.01.2024 (Effective Date), between:",,
1,Marketing contract template by Teamwork (1).docx,Effective Date,Yes,PARTIES,01 January 2024,"This Contract is made and entered into on 1.01.2024 (Effective Date), between:",,
2,Marketing contract template by Teamwork (1).docx,Renewal Term,,,,,,
3,Marketing contract template by Teamwork (1).docx,Exit clause incl. notice period,Yes,DURATION AND TERMINATION,This Agreement may be terminated if the following occurs:This Agreement will be terminated immediately if one of the Parties breaches a condition outlined in this Agreement.This Agreement can be terminated at any given time by providing written notice to the other Party 60 days before terminating the Agreement.This Agreement will automatically be terminated when both Parties complete their obligations.,,,
4,Marketing contract template by Teamwork (1).docx,Contract Parties,Yes,PERFORMANCE BONUS,"Ninja Promo Marketing Agency

Signature:

Date: 28.12.2023


CLIENT COMPANY

Name: Once Upon a Time … In Hollywood

Signature:

Date: 30.12.2023


-Ends-",,,
5,Marketing contract template by Teamwork (1).docx,Documents Retention Period,,,,,,
6,Marketing contract template by Teamwork (1).docx,Audit Clause,Yes,AUDIT CLAUSE,AUDIT CLAUSEThe Client shall have the right to audit Agencie's records and facilities related to the performance of this Agreement.Such audits may be conducted by the Client or its authorized representatives at reasonable times during normal business hours upon providing 3 days' written notice to Vendor.The purpose of such audits is to ensure compliance with the terms of this Agreement and to verify the accuracy of Agency`s performance.,,,
7,Marketing contract template by Teamwork (1).docx,Audit Frequency,,,,,,
8,Marketing contract template by Teamwork (1).docx,Audit Duration,Yes,AUDIT CLAUSE,3.0,Such audits may be conducted by the Client or its authorized representatives at reasonable times during normal business hours upon providing 3 days' written notice to Vendor,,
9,Marketing contract template by Teamwork (1).docx,Contract Fees,Yes,"PRICING, FEES, AND PAYMENT TERMS",15000.0,"In consideration of the Services provided by the Agency, the Client agrees to pay the Agency a monthly fee of $15,000.",,
10,Marketing contract template by Teamwork (1).docx,Payment Terms,,,,,,
11,Marketing contract template by Teamwork (1).docx,Contract Scope,Yes,SERVICES PROVIDED,"SERVICES PROVIDEDDuring the term of the Contract, the Agency shall perform services for the Client in connection with the planning, provision, research, advertising, marketing, consulting, and/or digital marketing services.",,,
12,Marketing contract template by Teamwork (1).docx,KPIs,,,,,,
13,Marketing contract template by Teamwork (1).docx,Service Level Agreement,,,,,,
14,Marketing contract template by Teamwork (1).docx,Roles and Responsibilities,Yes,DURATION AND TERMINATION,This Agreement will automatically be terminated when both Parties complete their obligations.,,,
15,Marketing contract template by Teamwork (1).docx,Deliverables,Yes,SERVICES PROVIDED,"shall provide the following services to the client:
service 1

service 2

service 3

service 4

if the client wishes to assign additional projects to the agency outside of the services outlined in the services section, the agency may agree to accept such projects only upon an additional compensation to be paid to the agency.
",,,
16,Marketing contract template by Teamwork (1).docx,Contractual Reporting,,,,,,
17,Marketing contract template by Teamwork (1).docx,Performance Review,,,,,,
18,Marketing contract template by Teamwork (1).docx,Performance Bonus,Yes,PERFORMANCE BONUS,"['$15,000']","PERFORMANCE BONUS
Agency shall be entitled to a performance bonus of up to $15,000",,
19,Marketing contract template by Teamwork (1).docx,Data Protection and Privacy,Yes,"PRICING, FEES, AND PAYMENT TERMS",$2,"PERFORMANCE BONUS
Agency shall be entitled to a performance bonus of up to $15,000",,
20,Marketing contract template by Teamwork (1).docx,Confidentiality,Yes,CONFIDENTIALITY AND NON-DISCLOSURE,CONFIDENTIALITY AND NON-DISCLOSUREAll terms and conditions of this Agreement and any confidential information provided by the Client to the Agency or vice versa during the term of the Agreement must be kept confidential unless the disclosure is required according to the process of law.The Parties’ obligation to maintain confidentiality will survive termination of this Agreement and remain in effect [either a date or in perpetuity].,"PERFORMANCE BONUS
Agency shall be entitled to a performance bonus of up to $15,000",,
